年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),15:04,清水,4-1,札幌,4,1,1,●,日本平,"12,436",,0
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:02,札幌,1-3,鹿島,1,3,2,●,仙台,"14,682",,0
1998,Ｊ１ １ｓｔ,第３節第１日,03/28(土),15:04,柏,1-1,札幌,1,1,0,△,柏,"6,340",,1
1998,Ｊ１ １ｓｔ,第４節第１日,04/04(土),13:05,札幌,1-0,Ｇ大阪,1,0,1,〇,室蘭,"8,169",,3
1998,Ｊ１ １ｓｔ,第５節第１日,04/11(土),15:00,横浜M,4-0,札幌,4,0,1,●,三ツ沢,"9,214",,0
1998,Ｊ１ １ｓｔ,第６節第１日,04/15(水),19:00,札幌,2-0,浦和,2,0,1,〇,仙台,"12,171",,3
1998,Ｊ１ １ｓｔ,第７節第１日,04/18(土),14:03,名古屋,2-1,札幌,2,1,1,●,瑞穂陸,"8,173",,0
1998,Ｊ１ １ｓｔ,第８節第１日,04/25(土),14:04,札幌,3-3,平塚,3,3,0,△,室蘭,"11,518",,1
1998,Ｊ１ １ｓｔ,第９節第１日,04/29(水・祝),14:03,磐田,4-0,札幌,4,0,1,●,磐田,"13,846",,0
1998,Ｊ１ １ｓｔ,第１０節第１日,05/02(土),13:04,札幌,1-3,Ｖ川崎,1,3,2,●,室蘭,"6,079",,0
1998,Ｊ１ １ｓｔ,第１１節第１日,05/05(火・祝),15:04,神戸,2-3,札幌,2,3,2,〇,神戸ユ,"6,004",,3
1998,Ｊ１ １ｓｔ,第１２節第１日,05/09(土),13:02,札幌,3-2,市原,3,2,1,〇,室蘭,"5,118",,3
1998,Ｊ１ ２ｎｄ,第９節第１日,10/03(土),14:05,札幌,0-2,横浜M,0,2,2,●,札幌,"19,251",,0
1998,Ｊ１ ２ｎｄ,第１０節第１日,10/14(水),19:03,浦和,2-1,札幌,2,1,1,●,駒場,"17,580",,0
1998,Ｊ１ ２ｎｄ,第１１節第１日,10/17(土),13:04,札幌,3-2,名古屋,3,2,1,〇,札幌,"10,052",,3
1998,Ｊ１ ２ｎｄ,第１２節第１日,10/21(水),19:00,平塚,2-2,札幌,2,2,0,△,平塚,"4,381",,1
1998,Ｊ１ ２ｎｄ,第１３節第１日,10/24(土),14:05,札幌,1-6,磐田,1,6,2,●,札幌,"19,739",,0
1998,Ｊ１ ２ｎｄ,第１４節第１日,10/31(土),15:03,Ｖ川崎,1-2,札幌,1,2,2,〇,等々力,"6,263",,3
1998,Ｊ１ ２ｎｄ,第１５節第１日,11/03(火・祝),14:03,札幌,3-0,神戸,3,0,1,〇,札幌,"12,154",,3
1998,Ｊ１ ２ｎｄ,第１６節第１日,11/07(土),15:04,市原,1-3,札幌,1,3,2,〇,市原,"3,287",,3
1998,Ｊ１ ２ｎｄ,第１７節第１日,11/14(土),15:00,札幌,1-4,横浜Ｆ,1,4,2,●,札幌,"15,172",,0
1999,Ｊ２,第１節第１日,03/14(日),13:01,大分,1-0,札幌,1,0,1,●,大分,"3,741",大分放送,0
1999,Ｊ２,第２節第２日,03/21(日・祝),14:03,大宮,1-2,札幌,1,2,2,〇,大宮,"5,609",テレビ埼玉（録）,3
1999,Ｊ２,第３節第１日,03/28(日),12:33,札幌,2-3,鳥栖,2,3,2,●,室蘭,"6,204",北海道文化放送,0
1999,Ｊ２,第４節第１日,04/04(日),14:00,仙台,1-1,札幌,1,1,0,△,仙台,"13,569",東日本放送,1
1999,Ｊ２,第５節第２日,04/11(日),12:34,札幌,0-1,新潟,0,1,2,●,室蘭,"4,588",北海道文化放送,0
1999,Ｊ２,第６節第２日,04/18(日),14:00,川崎Ｆ,2-0,札幌,2,0,1,●,等々力,"5,058",,0
1999,Ｊ２,第７節第２日,04/25(日),13:32,札幌,3-2,山形,3,2,1,〇,室蘭,"4,317",札幌テレビ放送,3
1999,Ｊ２,第８節第２日,04/29(木・祝),13:01,Ｆ東京,2-1,札幌,2,1,1,●,西が丘,"6,148",東京メトロポリタンテレビ,0
1999,Ｊ２,第９節第１日,05/02(日),13:02,札幌,6-0,甲府,6,0,1,〇,札幌,"15,318",北海道放送,3
1999,Ｊ２,第１０節第１日,05/05(水・祝),13:04,札幌,1-0,大宮,1,0,1,〇,札幌,"7,235",ＮＨＫ札幌,3
1999,Ｊ２,第１１節第１日,05/09(日),13:01,鳥栖,2-2,札幌,2,2,0,△,鳥栖,"5,797",,1
1999,Ｊ２,第１２節第１日,05/16(日),12:34,札幌,3-0,仙台,3,0,1,〇,札幌,"10,307",北海道文化放送,3
1999,Ｊ２,第１３節第１日,05/22(土),13:03,新潟,0-1,札幌,0,1,2,〇,新潟,"8,849",,3
1999,Ｊ２,第１４節第１日,05/29(土),14:04,札幌,1-1,川崎Ｆ,1,1,0,△,札幌,"11,274",北海道放送,1
1999,Ｊ２,第１５節第２日,06/27(日),14:05,山形,1-1,札幌,1,1,0,△,山形県,"2,350",山形テレビ,1
1999,Ｊ２,第２９節第１日,10/02(土),18:00,大分,2-0,札幌,2,0,1,●,大分,"3,933",テレビ大分（録）,0
1999,Ｊ２,第３０節第１日,10/11(月・休),15:01,札幌,2-0,山形,2,0,1,〇,札幌,"9,457",北海道テレビ放送,3
1999,Ｊ２,第３１節第２日,10/17(日),13:01,Ｆ東京,0-1,札幌,0,1,2,〇,江戸川,"4,605",東京メトロポリタンテレビ（録）,3
1999,Ｊ２,第３２節第１日,10/24(日),13:03,札幌,1-0,鳥栖,1,0,1,〇,札幌,"9,363",テレビ北海道,3
1999,Ｊ２,第３３節第２日,10/31(日),12:31,札幌,1-2,川崎Ｆ,1,2,2,●,札幌,"13,738",ＮＨＫ札幌放送局,0
1999,Ｊ２,第３４節第２日,11/06(土),15:01,甲府,0-3,札幌,0,3,2,〇,小瀬,"2,676",,3
1999,Ｊ２,第３５節第２日,11/14(日),13:36,札幌,0-1,大宮,0,1,2,●,札幌,"13,536",札幌テレビ放送,0
1999,Ｊ２,第３６節第１日,11/21(日),13:00,仙台,1-0,札幌,1,0,1,●,仙台,"16,535",,0
