type,points
A,0
A,0
A,1
A,3
A,0
A,3
A,0
A,1
A,0
A,0
A,3
A,3
A,0
A,0
A,3
A,1
A,0
A,3
A,3
A,3
A,0
A,0
A,3
A,0
A,1
A,0
A,0
A,3
A,0
A,3
A,3
A,1
A,3
A,3
A,1
A,1
A,0
A,3
A,3
A,3
A,0
A,3
A,0
A,0
A,3
A,3
A,3
A,3
A,1
A,0
A,3
A,3
A,3
A,3
A,3
A,3
A,3
A,3
A,3
A,3
A,3
A,3
A,3
A,1
A,3
A,3
A,3
A,0
A,1
A,3
A,3
A,3
A,0
A,3
A,1
A,3
A,0
A,0
A,3
A,0
A,1
A,0
A,3
A,3
A,0
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,3
A,0
A,0
A,0
A,0
A,0
A,0
A,3
A,0
A,0
A,3
A,0
A,3
A,0
A,3
A,0
A,3
A,1
A,3
A,0
A,0
A,0
A,1
A,3
A,1
A,3
A,1
A,3
A,0
A,1
A,1
A,1
A,1
A,0
A,3
A,0
A,0
A,1
A,1
A,3
A,0
A,1
A,1
A,3
A,1
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,1
A,1
A,0
A,0
A,0
A,0
A,1
A,0
A,1
A,1
A,1
A,0
A,0
A,1
A,1
A,0
A,3
A,0
A,0
A,1
A,1
A,1
A,1
A,3
A,0
A,3
A,3
A,3
A,0
A,1
A,3
A,3
A,3
A,1
A,1
A,3
A,1
A,1
A,0
A,1
A,0
A,3
A,3
A,3
A,0
A,3
A,0
A,0
A,3
A,3
A,3
A,1
A,0
A,0
A,1
A,0
A,0
A,1
A,0
A,1
A,1
A,3
A,3
A,3
A,3
A,1
A,0
A,0
A,3
A,1
A,3
A,3
A,3
A,0
A,0
A,3
A,3
A,1
A,3
A,3
A,1
A,1
A,3
A,3
A,3
A,0
A,3
A,3
A,3
A,3
A,3
A,3
A,3
A,0
A,1
A,3
A,1
A,0
A,3
A,3
A,3
A,3
A,0
A,1
A,3
A,0
A,0
A,3
A,0
A,0
A,3
A,1
A,0
A,0
A,0
A,0
A,3
A,0
A,0
A,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,3
A,0
A,0
A,1
A,0
A,1
A,3
A,3
A,3
A,3
A,1
A,3
A,1
A,3
A,1
A,1
A,1
A,3
A,0
A,1
A,0
A,1
A,1
A,1
A,0
A,0
A,3
A,0
A,1
A,3
A,3
A,1
A,1
A,0
A,3
A,3
A,0
A,1
A,0
A,0
A,1
A,1
A,3
A,1
A,1
A,3
A,1
A,1
A,1
A,3
A,0
A,3
A,1
A,0
A,3
A,1
A,3
A,0
A,0
A,1
A,3
A,0
A,3
A,0
A,3
A,3
A,0
A,3
A,1
A,3
A,0
A,0
A,0
A,3
A,3
A,0
A,3
A,0
A,3
A,3
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,3
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,3
A,1
A,0
A,0
A,0
A,0
A,0
A,3
A,0
A,0
A,0
A,3
A,0
A,0
A,3
A,3
A,1
A,0
A,0
A,3
A,3
A,1
A,0
A,3
A,0
A,3
A,3
A,0
A,0
A,3
A,0
A,3
A,3
A,3
A,1
A,3
A,1
A,0
A,3
A,1
A,3
A,0
A,3
A,0
A,1
A,0
A,1
A,0
A,0
A,3
A,1
A,0
A,1
A,3
A,3
A,1
A,0
A,3
A,3
A,1
A,1
A,1
A,1
A,3
A,0
A,3
A,1
A,0
A,1
A,1
A,3
A,3
A,1
A,3
A,1
A,0
A,3
A,3
A,1
A,1
A,3
A,1
A,1
A,3
A,3
A,0
A,0
A,3
A,3
A,0
A,3
A,0
A,3
A,1
A,3
A,3
A,0
A,3
A,1
A,3
A,3
A,3
A,3
A,3
A,3
A,1
A,0
A,3
A,3
A,3
A,1
A,3
A,1
A,0
A,0
A,3
A,0
A,3
A,1
A,0
A,0
A,1
A,3
A,0
A,3
A,1
A,0
A,1
A,3
A,0
A,0
A,0
A,0
A,0
A,0
A,3
A,3
A,0
A,3
A,3
A,3
A,0
A,1
A,0
A,3
A,1
A,3
A,3
A,3
A,1
A,3
A,1
A,3
A,3
A,1
A,0
A,0
A,1
A,3
A,3
A,0
A,3
A,1
A,0
A,3
A,3
A,0
A,0
A,0
A,3
A,3
A,3
A,3
A,1
A,0
A,1
A,3
A,1
A,3
A,0
A,0
A,0
A,3
A,0
A,0
A,3
A,0
A,0
A,1
A,3
A,0
A,3
A,3
A,0
A,3
A,0
A,1
A,3
A,1
A,0
A,1
A,3
A,3
A,0
A,0
A,1
A,0
A,3
A,0
A,1
A,0
A,3
A,1
A,3
A,0
A,3
A,1
A,3
A,3
A,0
