type,points
B,1
B,0
B,0
B,0
B,0
B,3
B,3
B,0
B,3
B,0
B,0
B,3
B,0
B,0
B,1
B,3
B,3
B,1
B,3
B,3
B,3
B,3
B,0
B,3
B,0
B,0
B,3
B,3
B,1
B,3
B,3
B,0
B,3
B,3
B,1
B,3
B,0
B,3
B,3
B,3
B,0
B,3
B,1
B,0
B,0
B,0
B,0
B,3
B,1
B,3
B,0
B,0
B,0
B,0
B,0
B,0
B,3
B,0
B,1
B,0
B,0
B,0
B,0
B,0
B,3
B,3
B,3
B,0
B,1
B,0
B,1
B,1
B,0
B,0
B,0
B,3
B,3
B,0
B,0
B,0
B,0
B,3
B,1
B,1
B,0
B,1
B,0
B,3
B,0
B,0
B,0
B,0
B,3
B,0
B,3
B,1
B,0
B,3
B,3
B,0
B,1
B,0
B,3
B,3
B,0
B,3
B,3
B,0
B,0
B,0
B,0
B,0
B,3
B,3
B,0
B,1
B,3
B,0
B,1
B,0
B,3
B,0
B,1
B,1
B,3
B,1
B,3
B,3
B,1
B,3
B,1
B,3
B,1
B,3
B,3
B,3
B,0
B,3
B,0
B,1
B,0
B,0
B,0
B,3
B,0
B,1
B,3
B,1
B,1
B,0
B,0
B,0
B,0
B,1
B,0
B,0
B,0
B,0
B,0
B,3
B,0
B,0
B,1
B,3
B,0
B,3
B,3
B,3
B,1
B,3
B,1
B,3
B,0
B,3
B,3
B,3
B,3
B,0
B,0
B,3
B,0
B,1
B,0
B,3
B,0
B,0
B,1
B,1
B,1
B,3
B,3
B,0
B,3
B,3
B,3
B,3
B,0
B,3
B,3
B,3
B,3
B,1
B,0
B,0
B,3
B,0
B,3
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,3
B,0
B,3
B,3
B,0
B,3
B,0
B,3
B,3
B,1
B,0
B,3
B,0
B,3
B,1
B,3
B,0
B,0
B,0
B,0
B,1
B,3
B,3
B,1
B,0
B,3
B,3
B,1
B,0
B,0
B,0
B,1
B,0
B,0
B,1
B,1
B,1
B,3
B,0
B,0
B,1
B,3
B,1
B,1
B,3
B,3
B,3
B,3
B,0
B,3
B,1
B,3
B,3
B,1
B,3
B,3
B,1
B,3
B,0
B,0
B,1
B,0
B,3
B,3
B,0
B,1
B,1
B,0
B,1
B,3
B,0
B,1
B,1
B,3
B,3
B,3
B,0
B,0
B,3
B,1
B,0
B,3
B,0
B,1
B,3
B,1
B,3
B,0
B,1
B,3
B,3
B,1
B,1
B,1
B,3
B,0
B,0
B,0
B,1
B,0
B,1
B,0
B,0
B,0
B,3
B,0
B,0
B,0
B,3
B,1
B,0
B,3
B,3
B,1
B,0
B,0
B,0
