年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
1998,Ｊ１ １ｓｔ,第１３節第１日,07/25(土),19:00,横浜Ｆ,2-2,札幌,2,2,0,△,三ツ沢,"5,104",,1
1998,Ｊ１ １ｓｔ,第１４節第１日,07/29(水),19:03,札幌,3-4,Ｃ大阪,3,4,2,●,札幌,"17,689",,0
1998,Ｊ１ １ｓｔ,第１５節第１日,08/01(土),19:04,広島,4-3,札幌,4,3,1,●,広島ス,"5,411",,0
1998,Ｊ１ １ｓｔ,第１６節第１日,08/05(水),19:00,札幌,1-2,福岡,1,2,2,●,札幌,"11,103",,0
1998,Ｊ１ １ｓｔ,第１７節第１日,08/08(土),19:04,京都,4-2,札幌,4,2,1,●,西京極,"4,130",,0
1998,Ｊ１ ２ｎｄ,第１節第１日,08/22(土),19:03,Ｃ大阪,1-3,札幌,1,3,2,〇,長居,"7,239",,3
1998,Ｊ１ ２ｎｄ,第２節第１日,08/29(土),13:02,札幌,2-0,広島,2,0,1,〇,札幌,"8,517",,3
1998,Ｊ１ ２ｎｄ,第３節第１日,09/05(土),19:04,福岡,1-0,札幌,1,0,1,●,博多球,"8,567",,0
1998,Ｊ１ ２ｎｄ,第４節第１日,09/12(土),14:00,札幌,2-0,京都,2,0,1,〇,札幌,"10,192",,3
1998,Ｊ１ ２ｎｄ,第５節第１日,09/15(火・祝),14:04,札幌,1-2,清水,1,2,2,●,札幌,"10,406",,0
1998,Ｊ１ ２ｎｄ,第６節第１日,09/19(土),19:03,鹿島,3-2,札幌,3,2,1,●,カシマ,"15,184",,0
1998,Ｊ１ ２ｎｄ,第７節第１日,09/23(水・祝),13:04,札幌,3-2,柏,3,2,1,〇,札幌,"11,183",,3
1998,Ｊ１ ２ｎｄ,第８節第１日,09/26(土),15:03,Ｇ大阪,1-0,札幌,1,0,1,●,万博,"3,688",,0
1999,Ｊ２,第１６節第２日,07/04(日),13:05,札幌,0-1,Ｆ東京,0,1,2,●,札幌,"11,783",ＮＨＫ札幌,0
1999,Ｊ２,第１７節第１日,07/09(金),19:00,甲府,1-1,札幌,1,1,0,△,小瀬,"3,807",,1
1999,Ｊ２,第１８節第２日,07/17(土),14:01,札幌,1-0,大分,1,0,1,〇,札幌,"10,259",北海道テレビ,3
1999,Ｊ２,第１９節第２日,08/01(日),14:00,札幌,2-0,仙台,2,0,1,〇,札幌,"11,717",北海道テレビ,3
1999,Ｊ２,第２０節第１日,08/07(土),18:00,新潟,1-1,札幌,1,1,0,△,新潟,"5,637",,1
1999,Ｊ２,第２１節第１日,08/15(日),12:02,札幌,3-2,大分,3,2,1,〇,札幌,"12,820",札幌テレビ放送,3
1999,Ｊ２,第２２節第４日,08/23(月),19:05,山形,1-4,札幌,1,4,2,〇,山形県,"3,940",,3
1999,Ｊ２,第２３節第２日,08/29(日),13:03,札幌,4-1,Ｆ東京,4,1,1,〇,札幌,"17,427",テレビ北海道,3
1999,Ｊ２,第２４節第２日,09/05(日),18:00,鳥栖,0-1,札幌,0,1,2,〇,鳥栖,"4,834",サガテレビ（録）,3
1999,Ｊ２,第２５節第１日,09/10(金),19:00,川崎Ｆ,2-0,札幌,2,0,1,●,等々力,"13,168",,0
1999,Ｊ２,第２６節第１日,09/15(水・祝),14:04,札幌,4-0,甲府,4,0,1,〇,札幌,"15,193",北海道放送,3
1999,Ｊ２,第２７節第２日,09/19(日),18:16,大宮,1-0,札幌,1,0,1,●,大宮,"5,042",テレビ埼玉,0
1999,Ｊ２,第２８節第２日,09/26(日),12:35,札幌,1-2,新潟,1,2,2,●,札幌,"13,216",北海道文化放送,0
